host,visited_pages,/shuttle/countdown/,/shuttle/countdown/countdown.html,/,/shuttle/missions/sts-71/mission-sts-71.html,/software/winvn/winvn.html,/shuttle/missions/sts-71/images/images.html,/shuttle/missions/missions.html,/htbin/cdt_main.pl,/shuttle/countdown/liftoff.html,/shuttle/countdown/tour.html,/shuttle/missions/sts-71/movies/movies.html,/history/apollo/apollo-13/apollo-13.html,/history/history.html,/facilities/lc39a.html,/history/apollo/apollo.html,/ksc.html,/shuttle/missions/sts-67/mission-sts-67.html,/shuttle/technology/sts-newsref/stsref-toc.html,/shuttle/missions/sts-70/mission-sts-70.html,/htbin/wais.pl,/shuttle/countdown/lps/fr.html,/history/apollo/apollo-13/apollo-13-info.html,/history/apollo/apollo-13/,/shuttle/resources/orbiters/atlantis.html,/shuttle/missions/sts-71/news/,/history/apollo/apollo-13/images/,/htbin/cdt_clock.pl,/history/apollo/apollo-11/apollo-11.html
ad08-027.compuserve.com,9,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
spazan.cts.com,5,T,F,T,T,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
thimble-d229.sierra.net,4,T,T,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ssandyg.scvnet.com,4,T,F,F,F,F,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ip16-085.phx.primenet.com,9,T,T,F,T,F,T,F,T,T,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F
ppp31.cowan.edu.au,4,T,T,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
131.128.2.155,3,T,F,F,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
139.121.119.19,4,T,F,F,T,F,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ix-atl12-27.ix.netcom.com,3,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F
larryr.cts.com,9,T,T,F,T,F,T,F,F,F,T,F,F,F,F,F,F,F,T,T,F,F,F,F,T,F,F,F,F
five74.remote.mun.ca,4,T,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
antares.physics.carleton.edu,4,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
pm1_13.promedia.net,2,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
smccay.earthlink.net,2,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
sos.wingham.com,3,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
diplomatic.passport.ca,2,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F
199.3.240.146,2,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
pm214.smartlink.net,2,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
netcom3.netcom.com,4,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F,F,F,T,F,F,F,T,F,F
204.212.132.27,5,T,F,F,T,F,F,T,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,T,F,F,F,F
www-b6.proxy.aol.com,59,T,T,T,T,F,T,T,T,T,F,T,T,F,T,T,T,F,F,F,T,F,T,T,T,F,T,T,F
gclab034.ins.gu.edu.au,5,T,T,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
ppp53.cac.psu.edu,2,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
cad230.cadvision.com,6,T,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F
ocn13.miracosta.cc.ca.us,7,T,F,F,T,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
cad60.cadvision.com,2,F,T,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
turnier.dialup.access.net,2,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ubppp-00.ppp-net.buffalo.edu,4,T,F,F,F,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
ix-la17-15.ix.netcom.com,5,T,T,T,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
blv-pm0-ip5.halcyon.com,2,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
cs31-22.win.or.jp,2,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
s129055.slip.cc.uq.oz.au,5,T,F,T,F,F,F,F,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
163.205.78.13,2,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F
blv-pm0-ip10.halcyon.com,4,T,F,F,T,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
slip-21-15.ots.utexas.edu,3,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F
153.64.25.131,2,T,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
